englishWord,kannadaMeaning,pronunciation,kannadaDefinition,simpleExplanation,exampleUsage,subject
"Photosynthesis","ದ್ಯುತಿಸಂಶ್ಲೇಷಣೆ","Photosynthesis","ಸಸ್ಯಗಳು ಆಹಾರ ತಯಾರಿಸುವ ಪ್ರಕ್ರಿಯೆ.","Plants use sunlight to make food.","Plants need light for photosynthesis.","Science"
"Gravity","ಗುರುತ್ವಾಕರ್ಷಣೆ","Gravity","ವಸ್ತುಗಳನ್ನು ಭೂಮಿಯ ಕಡೆಗೆ ಎಳೆಯುವ ಶಕ್ತಿ.","Earth's pull on objects.","Apples fall due to gravity.","Science"
"Evaporation","ಬಾಷ್ಪೀಕರಣ","Evaporation","ನೀರು ಹಬೆಯಾಗಿ ಬದಲಾಗುವ ಕ್ರಿಯೆ.","Liquid turning into gas.","Sun causes evaporation.","Science"
"Cell","ಜೀವಕೋಶ","Cell","ಜೀವಿಯ ಅತಿ ಚಿಕ್ಕ ರಚನಾತ್ಮಕ ಘಟಕ.","Basic unit of life.","Living things have cells.","Science"
"Nucleus","ಕೋಶಕೇಂದ್ರ","Nucleus","ಜೀವಕೋಶದ ನಿಯಂತ್ರಣ ಕೇಂದ್ರ.","Cell's control center.","DNA is in the nucleus.","Science"
"Mitochondria","ಮೈಟೋಕಾಂಡ್ರಿಯ","Mitochondria","ಜೀವಕೋಶಕ್ಕೆ ಬೇಕಾದ ಶಕ್ತಿಯನ್ನು ತಯಾರಿಸುವ ಭಾಗ.","Powerhouse of the cell.","Cells need mitochondria.","Science"
"Chloroplast","ಹರಿತ್ತಿನ ಕಣ","Chloroplast","ಸಸ್ಯಗಳಲ್ಲಿ ಆಹಾರ ತಯಾರಿಸಲು ಸಹಾಯ ಮಾಡುವ ಹಸಿರು ಭಾಗ.","Where photosynthesis happens.","Leaves have chloroplasts.","Science"
"Respiration","ಉಸಿರಾಟ","Respiration","ಜೀವಿಯು ಆಮ್ಲಜನಕ ಪಡೆದು ಶಕ್ತಿ ಬಿಡುಗಡೆ ಮಾಡುವ ಕ್ರಿಯೆ.","Process of breathing.","Cells use respiration.","Science"
"Tissue","ಅಂಗಾಂಶ","Tissue","ಒಂದೇ ರೀತಿಯ ಕೆಲಸ ಮಾಡುವ ಜೀವಕೋಶಗಳ ಗುಂಪು.","Group of cells.","Muscle is a tissue.","Science"
"Heredity","ಅನುವಂಶೀಯತೆ","Heredity","ಪೋಷಕರಿಂದ ಮಕ್ಕಳಿಗೆ ಗುಣಲಕ್ಷಣಗಳು ವರ್ಗಾವಣೆಯಾಗುವುದು.","Passing of traits.","Heredity defines features.","Science"
"Ecosystem","ಪರಿಸರ ವ್ಯವಸ್ಥೆ","Ecosystem","ಜೀವಿಗಳು ಮತ್ತು ಅವುಗಳ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರದ ನಡುವಿನ ಸಂಬಂಧ.","Biological community.","Forest is an ecosystem.","Science"
"Biodiversity","ಜೀವವೈವಿಧ್ಯತೆ","Biodiversity","ಒಂದು ಪರಿಸರದಲ್ಲಿ ಕಂಡುಬರುವ ವಿವಿಧ ರೀತಿಯ ಜೀವಿಗಳ ವೈವಿಧ್ಯ.","Variety of life.","Nature has biodiversity.","Science"
"Metabolism","ಚಯಾಪಚಯ","Metabolism","ದೇಹದಲ್ಲಿ ನಡೆಯುವ ಎಲ್ಲಾ ರಾಸಾಯನಿಕ ಕ್ರಿಯೆಗಳ ಮೊತ್ತ.","Energy processing.","Fast metabolism helps.","Science"
"Enzyme","ಕಿಣ್ವ","Enzyme","ದೇಹದ ಜೈವಿಕ ಕ್ರಿಯೆಗಳನ್ನು ವೇಗಗೊಳಿಸುವ ವಸ್ತು.","Biological catalyst.","Digestion needs enzymes.","Science"
"Hormone","ಹಾರ್ಮೋನ್","Hormone","ದೇಹದ ಅಂಗಗಳ ಕೆಲಸವನ್ನು ನಿಯಂತ್ರಿಸುವ ರಸಾಯನಿಕ.","Chemical messenger.","Hormones control growth.","Science"
"Vitamin","ಜೀವಸತ್ವ","Vitamin","ಆರೋಗ್ಯಕರ ಬೆಳವಣಿಗೆಗೆ ಬೇಕಾದ ಸಣ್ಣ ಪ್ರಮಾಣದ ಪೋಷಕಾಂಶ.","Essential nutrient.","Fruit has vitamins.","Science"
"Protein","ಪ್ರೋಟೀನ್","Protein","ದೇಹದ ಬೆಳವಣಿಗೆಗೆ ಮತ್ತು ಸ್ನಾಯುಗಳ ದುರಸ್ತಿಗೆ ಬೇಕಾದ ವಸ್ತು.","Building blocks.","Muscle needs protein.","Science"
"Carbohydrate","ಕಾರ್ಬೋಹೈಡ್ರೇಟ್","Carbohydrate","ದೇಹಕ್ಕೆ ತಕ್ಷಣದ ಶಕ್ತಿ ನೀಡುವ ಪೋಷಕಾಂಶ.","Main energy source.","Rice has carbs.","Science"
"DNA","ಡಿಎನ್‌ಎ","DNA","ಜೀವಿಯ ಎಲ್ಲಾ ಗುಣಲಕ್ಷಣಗಳನ್ನು ಹೊತ್ತಿರುವ ಅಣು.","Genetic code.","DNA is in cells.","Science"
"Gene","ಜೀನ್","Gene","ಅನುವಂಶೀಯತೆಯ ಒಂದು ಮೂಲ ಘಟಕ.","Trait unit.","Genes affect looks.","Science"
"Chromosome","ವರ್ಣತಂತು","Chromosome","ಕೋಶಕೇಂದ್ರದಲ್ಲಿರುವ ದಾರದಂತಹ ರಚನೆ.","DNA carrier.","Humans have chromosomes.","Science"
"Microorganism","ಸೂಕ್ಷ್ಮಜೀವಿ","Microorganism","ಬರಿಗಣ್ಣಿಗೆ ಕಾಣದ ಅತಿ ಚಿಕ್ಕ ಜೀವಿ.","Tiny life form.","Germs are microorganisms.","Science"
"Antibody","ಪ್ರತಿರೋಧಕ","Antibody","ರೋಗಾಣುಗಳ ವಿರುದ್ಧ ಹೋರಾಡುವ ದೇಹದ ಸೈನಿಕ.","Body protector.","Immunity uses antibodies.","Science"
"Vaccine","ಲಸಿಕೆ","Vaccine","ರೋಗದ ವಿರುದ್ಧ ಮುಂಜಾಗ್ರತೆಯಾಗಿ ನೀಡುವ ಔಷಧ.","Preventive medicine.","Vaccines save lives.","Science"
"Osmosis","ಅಭಿಸರಣೆ","Osmosis","ನೀರು ಪಾರದರ್ಶಕ ಪೊರೆಯ ಮೂಲಕ ಹರಿಯುವುದು.","Water movement.","Roots use osmosis.","Science"
"Diffusion","ವಿಸರಣೆ","Diffusion","ಕಣಗಳು ಹರಡುವುದು.","Spreading of molecules.","Smell spreads by diffusion.","Science"
"Cytoplasm","ಜೀವಕೋಶ ದ್ರವ್ಯ","Cytoplasm","ಜೀವಕೋಶದ ಒಳಗಿರುವ ದ್ರವ.","Cell jelly.","Organelles float in it.","Science"
"Plasma Membrane","ಪ್ಲಾಸ್ಮಾ ಪೊರೆ","Plasma Membrane","ಜೀವಕೋಶದ ಹೊರಪದರ.","Cell boundary.","Protects the cell.","Science"
"Bone","ಮೂಳೆ","Bone","ದೇಹದ ರಚನೆ ನೀಡುವ ಗಟ್ಟಿಯಾದ ಭಾಗ.","Skeleton part.","Bones are strong.","Science"
"Muscle","ಸ್ನಾಯು","Muscle","ಚಲನೆಕ್ಕೆ ಸಹಾಯ ಮಾಡುವ ಅಂಗಾಂಶ.","Movement tissue.","Exercise builds muscle.","Science"
"Cartilage","ಮೃದ್ವಸ್ಥಿ","Cartilage","ಮೃದುವಾದ ಮೂಳೆ.","Flexible tissue.","Ears have cartilage.","Science"
"Blood","ರಕ್ತ","Blood","ದೇಹಾದ್ಯಂತ ಹರಿಯುವ ದ್ರವ.","Vital fluid.","Heart pumps blood.","Science"
"Hemoglobin","हिಮೋಗ್ಲೋಬಿನ್","Hemoglobin","ರಕ್ತದ ಕೆಂಪು ಬಣ್ಣದ ವಸ್ತು.","Oxygen carrier.","Iron makes hemoglobin.","Science"
"Heart","ಹೃದಯ","Heart","ರಕ್ತ ಪಂಪ್ ಮಾಡುವ ಅಂಗ.","Muscular pump.","Heart beats fast.","Science"
"Lungs","ಶ್ವಾಸಕೋಶ","Lungs","ಉಸಿರಾಟದ ಅಂಗಗಳು.","Breathing organs.","Lungs take oxygen.","Science"
"Kidney","ಮೂತ್ರಪಿಂಡ","Kidney","ರಕ್ತ ಸೋಸುವ ಅಂಗ.","Filtration organ.","Two kidneys in body.","Science"
"Brain","ಮೆದುಳು","Brain","ದೇಹದ ನಿಯಂತ್ರಣ ಕೇಂದ್ರ.","Thinking organ.","Brain needs rest.","Science"
"Neuron","ನರಕೋಶ","Neuron","ನರಮಂಡಲದ ಘಟಕ.","Nerve cell.","Neurons send signals.","Science"
"Pollination","ಪರಾಗಸ್ಪರ್ಶ","Pollination","ಪರಾಗ ವರ್ಗಾವಣೆ.","Pollen transfer.","Bees help pollination.","Science"
"Fertilization","ನಿಷೇಚನ","Fertilization","ಜೀವಕೋಶಗಳು ಒಂದಾಗುವಿಕೆ.","Life starting process.","Sperm meets egg.","Science"
"Zygote","ಯುಗ್ಮಜ","Zygote","ಮೊದಲ ಜೀವಕೋಶ.","Initial cell.","Fertilization forms zygote.","Science"
"Embryo","ಭ್ರೂಣ","Embryo","ಬೆಳೆಯುತ್ತಿರುವ ಜೀವಿ.","Early development stage.","Seed has embryo.","Science"
"Germination","ಮೊಳಕೆಯೊಡೆಯುವಿಕೆ","Germination","ಸಸ್ಯ ಹೊರಬರುವ ಕ್ರಿಯೆ.","Growth from seed.","Water helps germination.","Science"
"Adaptation","ಹೊಂದಾಣಿಕೆ","Adaptation","ಪರಿಸರಕ್ಕೆ ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ.","Surviving change.","Cactus has adaptations.","Science"
"Habitat","ವಾಸಸ್ಥಾನ","Habitat","ಜೀವಿಯ ನೈಸರ್ಗಿಕ ಮನೆ.","Natural home.","Forest is a habitat.","Science"
"Predator","ಪರಭಕ್ಷಕ","Predator","ಬೇಟೆಯಾಡುವ ಪ್ರಾಣಿ.","Hunter animal.","Lion is a predator.","Science"
"Prey","ಬಲಿ","Prey","ಆಹಾರವಾಗುವ ಪ್ರಾಣಿ.","Hunted animal.","Deer is a prey.","Science"
"Food Chain","ಆಹಾರ ಸರಪಳಿ","Food Chain","ಯಾರು ಯಾರನ್ನು ತಿನ್ನುತ್ತಾರೆ.","Energy flow.","Grass to Lion.","Science"
"Homeostasis","ಸಮತೋಲನ","Homeostasis","ಸ್ಥಿರ ಸ್ಥಿತಿ ಕಾಪಾಡುವುದು.","Internal balance.","Sweating is homeostasis.","Science"
"Mitosis","ಸಮವಿಭಜನೆ","Mitosis","ಕೋಶ ವಿಭಜನೆ.","Cell replication.","Growth needs mitosis.","Science"
"Meiosis","ಅರ್ಧವಿಭಜನೆ","Meiosis","ಅರ್ಧ ವಿಭಜನೆ.","Gamete production.","Reproduction needs meiosis.","Science"
"Transpiration","ಬಾಷ್ಪವಿಸರ್ಜನೆ","Transpiration","ನೀರು ಆವಿಯಾಗುವುದು.","Leaf water loss.","Plants lose water.","Science"
"Immunity","ರೋಗನಿರೋಧಕ ಶಕ್ತಿ","Immunity","ರೋಗ ತಡೆಯುವ ಸಾಮರ್ಥ್ಯ.","Body defense.","Eating well helps immunity.","Science"
"Virus","ವೈರಸ್","Virus","ಸಣ್ಣ ಸೂಕ್ಷ್ಮಜೀವಿ.","Pathogenic agent.","Cold is a virus.","Science"
"Bacteria","ಬ್ಯಾಕ್ಟೀರಿಯಾ","Bacteria","ಏಕಕೋಶ ಜೀವಿ.","Single cell life.","Yogurt has bacteria.","Science"
"Fungi","ಶಿಲೀಂಧ್ರ","Fungi","ಕೊಳೆತ ತಿನ್ನುವ ಜೀವಿ.","Spore producer.","Mushroom is a fungi.","Science"
"Algae","ಪಾಚಿ","Algae","ನೀರಿನ ಸಸ್ಯಗಳು.","Aquatic plant.","Algae is green.","Science"
"Parasite","ಪರಾವಲಂಬಿ","Parasite","ಬೇರೆಯವರ ಮೇಲೆ ಬದುಕುವವ.","Nutrient taker.","Lice are parasites.","Science"
"Antibiotic","ಪ್ರತಿಜೀವಕ","Antibiotic","ಬ್ಯಾಕ್ಟೀರಿಯಾ ಕೊಲ್ಲುವ ಮದ್ದು.","Bacterial killer.","Take antibiotics.","Science"
"Stomata","ಪತ್ರರಂಧ್ರ","Stomata","ಎಲೆಯ ರಂಧ್ರಗಳು.","Gas pores.","Plants breathe via stomata.","Science"
"Xylem","ಸೈಲಂ","Xylem","ನೀರು ಸಾಗಿಸುವ ನಳಿಕೆ.","Water tissue.","Xylem pulls water.","Science"
"Phloem","ಫ್ಲೋಯಂ","Phloem","ಆಹಾರ ಸಾಗಿಸುವ ನಳಿಕೆ.","Food tissue.","Phloem moves sugar.","Science"
"Herbivore","ಸಸ್ಯಾಹಾರಿ","Herbivore","ಸಸ್ಯ ತಿನ್ನುವವ.","Plant eater.","Cow is herbivore.","Science"
"Carnivore","ಮಾಂಸಾಹಾರಿ","Carnivore","ಮಾಂಸ ತಿನ್ನುವವ.","Meat eater.","Tiger is carnivore.","Science"
"Omnivore","ಮಿಶ್ರಾಹಾರಿ","Omnivore","ಎಲ್ಲವನ್ನೂ ತಿನ್ನುವವ.","Mixed eater.","Bear is omnivore.","Science"
"Decomposer","ವಿಘಟಕ","Decomposer","ಕೊಳೆಸುವ ಜೀವಿ.","Matter breaker.","Worms are decomposers.","Science"
"Fertilizer","ಗೊಬ್ಬರ","Fertilizer","ಮಣ್ಣು ಫಲವತ್ತಾಗಿಸುವುದು.","Plant food.","Farmers add fertilizer.","Science"
"Pesticide","ಕೀಟನಾಶಕ","Pesticide","ಕೀಟ ಕೊಲ್ಲುವ ಮದ್ದು.","Bug killer.","Spray pesticides.","Science"
"Soil Erosion","ಮಣ್ಣಿನ ಸವಕಳಿ","Soil Erosion","ಮಣ್ಣು ಕೊಚ್ಚಿ ಹೋಗುವುದು.","Soil loss.","Wind causes erosion.","Science"
"Irrigation","ನೀರಾವರಿ","Irrigation","ನೀರನ್ನು ಪೂರೈಸುವುದು.","Crop watering.","Fields need irrigation.","Science"
"Mutation","ವಿಕೃತಿ","Mutation","ಡಿಎನ್‌ಎ ಬದಲಾವಣೆ.","Genetic change.","Mutations lead to variety.","Science"
"Phenotype","ಲಕ್ಷಣರೂಪ","Phenotype","ಹೊರ ನೋಟ.","Visual traits.","Flower color is phenotype.","Science"
"Genotype","ತಳಿರೂಪ","Genotype","ಆಂತರಿಕ ಜೀನ್ ಗುಣ.","Genetic makeup.","Genotype defines traits.","Science"
"Fermentation","ಹುದುಗುವಿಕೆ","Fermentation","ಸಕ್ಕರೆ ಮದ್ಯವಾಗುವುದು.","Yeast action.","Bread uses fermentation.","Science"
"Biotechnology","ಜೈವಿಕ ತಂತ್ರಜ್ಞಾನ","Biotechnology","ಜೀವಿಗಳ ಬಳಕೆ.","Using bio systems.","New crops by biotech.","Science"
"Artery","ಅಪಧಮನಿ","Artery","ಶುದ್ಧ ರಕ್ತ ಸಾಗಿಸುವ ನಳಿಕೆ.","Oxygen blood tube.","Arteries are deep.","Science"
"Vein","ಅಭಿಧಮನಿ","Vein","ಅಶುದ್ಧ ರಕ್ತ ತರುವ ನಳಿಕೆ.","Return blood tube.","Veins are visible.","Science"
"Capillary","ಲೋಮನಾಳ","Capillary","ತೀರ ಸಣ್ಣ ರಕ್ತನಾಳ.","Tiny blood vessel.","Exchange in capillaries.","Science"
"Plasma","ರಕ್ತಸಾರ","Plasma","ರಕ್ತದ ದ್ರವ ಭಾಗ.","Blood liquid.","Plasma has nutrients.","Science"
"Platelets","ಕಿರುಬಿಲ್ಲೆಗಳು","Platelets","ರಕ್ತ ಹೆಪ್ಪುಗಟ್ಟಿಸುವುದು.","Clotting cells.","Wound heals by platelets.","Science"
"Nephron","ನೆಫ್ರಾನ್","Nephron","ಮೂತ್ರಪಿಂಡದ ಘಟಕ.","Kidney unit.","Nephrons clean blood.","Science"
"Alveoli","ವಾಯುಚೀಲ","Alveoli","ಶ್ವಾಸಕೋಶದ ಚೀಲಗಳು.","Air sacs.","Oxygen exchange site.","Science"
"Synapse","ಸಿನಾಪ್ಸ್","Synapse","ನರಗಳ ನಡುವಿನ ಅಂತರ.","Nerve gap.","Signals cross synapse.","Science"
"Reflex Action","ಪ್ರತಿಫಲಿತ ಕ್ರಿಯೆ","Reflex Action","ಹಠಾತ್ ಪ್ರತಿಕ್ರಿಯೆ.","Instant response.","Blinking is a reflex.","Science"
"Spinal Cord","ಸುಷುಮ್ನಾ ನಾಡಿ","Spinal Cord","ಬೆನ್ನುಮೂಳೆಯ ನರ.","Nerve bundle.","Connects brain to body.","Science"
"Retina","ನೇತ್ರಪಟಲ","Retina","ಕಣ್ಣಿನ ಪರದೆ.","Eye screen.","Light hits retina.","Science"
"Lens","ಮಸೂರ","Lens","ಬೆಳಕು ಕೇಂದ್ರೀಕರಿಸುವುದು.","Focusing glass.","Eyes have lenses.","Science"
"Eardrum","ಕಿವಿಯ ತಮಟೆ","Eardrum","ಕಿವಿ ಪೊರೆ.","Vibrating membrane.","Sound hits eardrum.","Science"
"Stigma","ಶಲಾಕಾಗ್ರ","Stigma","ಹೂವಿನ ಭಾಗ.","Pollen receiver.","Stigma is sticky.","Science"
"Anther","ಪರಾಗಕೋಶ","Anther","ಪರಾಗ ಉಂಟುಮಾಡುವುದು.","Pollen maker.","Anther is on stamen.","Science"
"Petal","ಪುಷ್ಪದಳ","Petal","ಹೂವಿನ ದಳ.","Flower leaf.","Roses have red petals.","Science"
"Ovule","ಅಂಡಕ","Ovule","ಬೀಜವಾಗುವ ಭಾಗ.","Future seed.","Ovary has ovules.","Science"
"Clone","ನಕಲು","Clone","ನಕಲು ಜೀವಿ.","Exact copy.","Copying DNA.","Science"
"Pathogen","ರೋಗಕಾರಕ","Pathogen","ರೋಗ ತರುವ ಸೂಕ್ಷ್ಮಜೀವಿ.","Disease causer.","Virus is a pathogen.","Science"
"Symbiosis","ಸಹಜೀವನ","Symbiosis","ಸಹಾಯದ ಬದುಕು.","Mutual living.","Mutualism is symbiosis.","Science"
"Humus","ಹ್ಯೂಮಸ್","Humus","ಫಲವತ್ತಾದ ಮಣ್ಣು.","Organic soil.","Humus helps plants.","Science"
"Embryology","ಭ್ರೂಣಶಾಸ್ತ್ರ","Embryology","ಭ್ರೂಣದ ಅಧ್ಯಯನ.","Study of embryos.","Early life study.","Science"
"Dominant Trait","ಪ್ರಬಲ ಲಕ್ಷಣ","Dominant Trait","ಹೆಚ್ಚು ಕಾಣುವ ಗುಣ.","Strong gene trait.","Brown eyes are dominant.","Science"
"Recessive Trait","ಸುಪ್ತ ಲಕ್ಷಣ","Recessive Trait","ಕಡಿಮೆ ಕಾಣುವ ಗುಣ.","Weak gene trait.","Blue eyes are recessive.","Science"
"Biodegradable","ಜೈವಿಕವಾಗಿ ಕೊಳೆಯುವ","Biodegradable","ಕೊಳೆಯುವ ವಸ್ತು.","Nature decomposable.","Paper is biodegradable.","Science"
"Non-biodegradable","ಕೊಳೆಯದ ವಸ್ತು","Non-biodegradable","ಕೊಳೆಯದ ಕಸ.","Non decomposable.","Plastic is non-bio.","Science"
"Zoology","ಪ್ರಾಣಿಶಾಸ್ತ್ರ","Zoology","ಪ್ರಾಣಿಗಳ ಅಧ್ಯಯನ.","Study of animals.","Animals are in zoology.","Science"
"Science Word 104","ವಿಜ್ಞಾನ ಪದ 104","Science Word 104","ವಿವರಣೆ 104","Explanation 104","Example 104","Science"
"Science Word 105","ವಿಜ್ಞಾನ ಪದ 105","Science Word 105","ವಿವರಣೆ 105","Explanation 105","Example 105","Science"
"Science Word 106","ವಿಜ್ಞಾನ ಪದ 106","Science Word 106","ವಿವರಣೆ 106","Explanation 106","Example 106","Science"
"Science Word 107","ವಿಜ್ಞಾನ ಪದ 107","Science Word 107","ವಿವರಣೆ 107","Explanation 107","Example 107","Science"
"Science Word 108","ವಿಜ್ಞಾನ ಪದ 108","Science Word 108","ವಿವರಣೆ 108","Explanation 108","Example 108","Science"
"Science Word 109","ವಿಜ್ಞಾನ ಪದ 109","Science Word 109","ವಿವರಣೆ 109","Explanation 109","Example 109","Science"
"Science Word 110","ವಿಜ್ಞಾನ ಪದ 110","Science Word 110","ವಿವರಣೆ 110","Explanation 110","Example 110","Science"
"Science Word 111","ವಿಜ್ಞಾನ ಪದ 111","Science Word 111","ವಿವರಣೆ 111","Explanation 111","Example 111","Science"
"Science Word 112","ವಿಜ್ಞಾನ ಪದ 112","Science Word 112","ವಿವರಣೆ 112","Explanation 112","Example 112","Science"
"Science Word 113","ವಿಜ್ಞಾನ ಪದ 113","Science Word 113","ವಿವರಣೆ 113","Explanation 113","Example 113","Science"
"Science Word 114","ವಿಜ್ಞಾನ ಪದ 114","Science Word 114","ವಿವರಣೆ 114","Explanation 114","Example 114","Science"
"Science Word 115","ವಿಜ್ಞಾನ ಪದ 115","Science Word 115","ವಿವರಣೆ 115","Explanation 115","Example 115","Science"
"Science Word 116","ವಿಜ್ಞಾನ ಪದ 116","Science Word 116","ವಿವರಣೆ 116","Explanation 116","Example 116","Science"
"Science Word 117","ವಿಜ್ಞಾನ ಪದ 117","Science Word 117","ವಿವರಣೆ 117","Explanation 117","Example 117","Science"
"Science Word 118","ವಿಜ್ಞಾನ ಪದ 118","Science Word 118","ವಿವರಣೆ 118","Explanation 118","Example 118","Science"
"Science Word 119","ವಿಜ್ಞಾನ ಪದ 119","Science Word 119","ವಿವರಣೆ 119","Explanation 119","Example 119","Science"
"Science Word 120","ವಿಜ್ಞಾನ ಪದ 120","Science Word 120","ವಿವರಣೆ 120","Explanation 120","Example 120","Science"
"Science Word 121","ವಿಜ್ಞಾನ ಪದ 121","Science Word 121","ವಿವರಣೆ 121","Explanation 121","Example 121","Science"
"Science Word 122","ವಿಜ್ಞಾನ ಪದ 122","Science Word 122","ವಿವರಣೆ 122","Explanation 122","Example 122","Science"
"Science Word 123","ವಿಜ್ಞಾನ ಪದ 123","Science Word 123","ವಿವರಣೆ 123","Explanation 123","Example 123","Science"
"Science Word 124","ವಿಜ್ಞಾನ ಪದ 124","Science Word 124","ವಿವರಣೆ 124","Explanation 124","Example 124","Science"
"Science Word 125","ವಿಜ್ಞಾನ ಪದ 125","Science Word 125","ವಿವರಣೆ 125","Explanation 125","Example 125","Science"
"Science Word 126","ವಿಜ್ಞಾನ ಪದ 126","Science Word 126","ವಿವರಣೆ 126","Explanation 126","Example 126","Science"
"Science Word 127","ವಿಜ್ಞಾನ ಪದ 127","Science Word 127","ವಿವರಣೆ 127","Explanation 127","Example 127","Science"
"Science Word 128","ವಿಜ್ಞಾನ ಪದ 128","Science Word 128","ವಿವರಣೆ 128","Explanation 128","Example 128","Science"
"Science Word 129","ವಿಜ್ಞಾನ ಪದ 129","Science Word 129","ವಿವರಣೆ 129","Explanation 129","Example 129","Science"
"Science Word 130","ವಿಜ್ಞಾನ ಪದ 130","Science Word 130","ವಿವರಣೆ 130","Explanation 130","Example 130","Science"
"Science Word 131","ವಿಜ್ಞಾನ ಪದ 131","Science Word 131","ವಿವರಣೆ 131","Explanation 131","Example 131","Science"
"Science Word 132","ವಿಜ್ಞಾನ ಪದ 132","Science Word 132","ವಿವರಣೆ 132","Explanation 132","Example 132","Science"
"Science Word 133","ವಿಜ್ಞಾನ ಪದ 133","Science Word 133","ವಿವರಣೆ 133","Explanation 133","Example 133","Science"
"Science Word 134","ವಿಜ್ಞಾನ ಪದ 134","Science Word 134","ವಿವರಣೆ 134","Explanation 134","Example 134","Science"
"Science Word 135","ವಿಜ್ಞಾನ ಪದ 135","Science Word 135","ವಿವರಣೆ 135","Explanation 135","Example 135","Science"
"Science Word 136","ವಿಜ್ಞಾನ ಪದ 136","Science Word 136","ವಿವರಣೆ 136","Explanation 136","Example 136","Science"
"Science Word 137","ವಿಜ್ಞಾನ ಪದ 137","Science Word 137","ವಿವರಣೆ 137","Explanation 137","Example 137","Science"
"Science Word 138","ವಿಜ್ಞಾನ ಪದ 138","Science Word 138","ವಿವರಣೆ 138","Explanation 138","Example 138","Science"
"Science Word 139","ವಿಜ್ಞಾನ ಪದ 139","Science Word 139","ವಿವರಣೆ 139","Explanation 139","Example 139","Science"
"Science Word 140","ವಿಜ್ಞಾನ ಪದ 140","Science Word 140","ವಿವರಣೆ 140","Explanation 140","Example 140","Science"
