englishWord,kannadaMeaning,pronunciation,kannadaDefinition,simpleExplanation,exampleUsage,subject
"Science Word 141","ವಿಜ್ಞಾನ ಪದ 141","Science Word 141","ವಿವರಣೆ 141","Explanation 141","Example 141","Science"
"Science Word 142","ವಿಜ್ಞಾನ ಪದ 142","Science Word 142","ವಿವರಣೆ 142","Explanation 142","Example 142","Science"
"Science Word 143","ವಿಜ್ಞಾನ ಪದ 143","Science Word 143","ವಿವರಣೆ 143","Explanation 143","Example 143","Science"
"Science Word 144","ವಿಜ್ಞಾನ ಪದ 144","Science Word 144","ವಿವರಣೆ 144","Explanation 144","Example 144","Science"
"Science Word 145","ವಿಜ್ಞಾನ ಪದ 145","Science Word 145","ವಿವರಣೆ 145","Explanation 145","Example 145","Science"
"Science Word 146","ವಿಜ್ಞಾನ ಪದ 146","Science Word 146","ವಿವರಣೆ 146","Explanation 146","Example 146","Science"
"Science Word 147","ವಿಜ್ಞಾನ ಪದ 147","Science Word 147","ವಿವರಣೆ 147","Explanation 147","Example 147","Science"
"Science Word 148","ವಿಜ್ಞಾನ ಪದ 148","Science Word 148","ವಿವರಣೆ 148","Explanation 148","Example 148","Science"
"Science Word 149","ವಿಜ್ಞಾನ ಪದ 149","Science Word 149","ವಿವರಣೆ 149","Explanation 149","Example 149","Science"
"Science Word 150","ವಿಜ್ಞಾನ ಪದ 150","Science Word 150","ವಿವರಣೆ 150","Explanation 150","Example 150","Science"
"Science Word 151","ವಿಜ್ಞಾನ ಪದ 151","Science Word 151","ವಿವರಣೆ 151","Explanation 151","Example 151","Science"
"Science Word 152","ವಿಜ್ಞಾನ ಪದ 152","Science Word 152","ವಿವರಣೆ 152","Explanation 152","Example 152","Science"
"Science Word 153","ವಿಜ್ಞಾನ ಪದ 153","Science Word 153","ವಿವರಣೆ 153","Explanation 153","Example 153","Science"
"Science Word 154","ವಿಜ್ಞಾನ ಪದ 154","Science Word 154","ವಿವರಣೆ 154","Explanation 154","Example 154","Science"
"Science Word 155","ವಿಜ್ಞಾನ ಪದ 155","Science Word 155","ವಿವರಣೆ 155","Explanation 155","Example 155","Science"
"Science Word 156","ವಿಜ್ಞಾನ ಪದ 156","Science Word 156","ವಿವರಣೆ 156","Explanation 156","Example 156","Science"
"Science Word 157","ವಿಜ್ಞಾನ ಪದ 157","Science Word 157","ವಿವರಣೆ 157","Explanation 157","Example 157","Science"
"Science Word 158","ವಿಜ್ಞಾನ ಪದ 158","Science Word 158","ವಿವರಣೆ 158","Explanation 158","Example 158","Science"
"Science Word 159","ವಿಜ್ಞಾನ ಪದ 159","Science Word 159","ವಿವರಣೆ 159","Explanation 159","Example 159","Science"
"Science Word 160","ವಿಜ್ಞಾನ ಪದ 160","Science Word 160","ವಿವರಣೆ 160","Explanation 160","Example 160","Science"
"Science Word 161","ವಿಜ್ಞಾನ ಪದ 161","Science Word 161","ವಿವರಣೆ 161","Explanation 161","Example 161","Science"
"Science Word 162","ವಿಜ್ಞಾನ ಪದ 162","Science Word 162","ವಿವರಣೆ 162","Explanation 162","Example 162","Science"
"Science Word 163","ವಿಜ್ಞಾನ ಪದ 163","Science Word 163","ವಿವರಣೆ 163","Explanation 163","Example 163","Science"
"Science Word 164","ವಿಜ್ಞಾನ ಪದ 164","Science Word 164","ವಿವರಣೆ 164","Explanation 164","Example 164","Science"
"Science Word 165","ವಿಜ್ಞಾನ ಪದ 165","Science Word 165","ವಿವರಣೆ 165","Explanation 165","Example 165","Science"
"Science Word 166","ವಿಜ್ಞಾನ ಪದ 166","Science Word 166","ವಿವರಣೆ 166","Explanation 166","Example 166","Science"
"Science Word 167","ವಿಜ್ಞಾನ ಪದ 167","Science Word 167","ವಿವರಣೆ 167","Explanation 167","Example 167","Science"
"Science Word 168","ವಿಜ್ಞಾನ ಪದ 168","Science Word 168","ವಿವರಣೆ 168","Explanation 168","Example 168","Science"
"Science Word 169","ವಿಜ್ಞಾನ ಪದ 169","Science Word 169","ವಿವರಣೆ 169","Explanation 169","Example 169","Science"
"Science Word 170","ವಿಜ್ಞಾನ ಪದ 170","Science Word 170","ವಿವರಣೆ 170","Explanation 170","Example 170","Science"
"Science Word 171","ವಿಜ್ಞಾನ ಪದ 171","Science Word 171","ವಿವರಣೆ 171","Explanation 171","Example 171","Science"
"Science Word 172","ವಿಜ್ಞಾನ ಪದ 172","Science Word 172","ವಿವರಣೆ 172","Explanation 172","Example 172","Science"
"Science Word 173","ವಿಜ್ಞಾನ ಪದ 173","Science Word 173","ವಿವರಣೆ 173","Explanation 173","Example 173","Science"
"Science Word 174","ವಿಜ್ಞಾನ ಪದ 174","Science Word 174","ವಿವರಣೆ 174","Explanation 174","Example 174","Science"
"Science Word 175","ವಿಜ್ಞಾನ ಪದ 175","Science Word 175","ವಿವರಣೆ 175","Explanation 175","Example 175","Science"
"Science Word 176","ವಿಜ್ಞಾನ ಪದ 176","Science Word 176","ವಿವರಣೆ 176","Explanation 176","Example 176","Science"
"Science Word 177","ವಿಜ್ಞಾನ ಪದ 177","Science Word 177","ವಿವರಣೆ 177","Explanation 177","Example 177","Science"
"Science Word 178","ವಿಜ್ಞಾನ ಪದ 178","Science Word 178","ವಿವರಣೆ 178","Explanation 178","Example 178","Science"
"Science Word 179","ವಿಜ್ಞಾನ ಪದ 179","Science Word 179","ವಿವರಣೆ 179","Explanation 179","Example 179","Science"
"Science Word 180","ವಿಜ್ಞಾನ ಪದ 180","Science Word 180","ವಿವರಣೆ 180","Explanation 180","Example 180","Science"
"Science Word 181","ವಿಜ್ಞಾನ ಪದ 181","Science Word 181","ವಿವರಣೆ 181","Explanation 181","Example 181","Science"
"Science Word 182","ವಿಜ್ಞಾನ ಪದ 182","Science Word 182","ವಿವರಣೆ 182","Explanation 182","Example 182","Science"
"Science Word 183","ವಿಜ್ಞಾನ ಪದ 183","Science Word 183","ವಿವರಣೆ 183","Explanation 183","Example 183","Science"
"Science Word 184","ವಿಜ್ಞಾನ ಪದ 184","Science Word 184","ವಿವರಣೆ 184","Explanation 184","Example 184","Science"
"Science Word 185","ವಿಜ್ಞಾನ ಪದ 185","Science Word 185","ವಿವರಣೆ 185","Explanation 185","Example 185","Science"
"Science Word 186","ವಿಜ್ಞಾನ ಪದ 186","Science Word 186","ವಿವರಣೆ 186","Explanation 186","Example 186","Science"
"Science Word 187","ವಿಜ್ಞಾನ ಪದ 187","Science Word 187","ವಿವರಣೆ 187","Explanation 187","Example 187","Science"
"Science Word 188","ವಿಜ್ಞಾನ ಪದ 188","Science Word 188","ವಿವರಣೆ 188","Explanation 188","Example 188","Science"
"Science Word 189","ವಿಜ್ಞಾನ ಪದ 189","Science Word 189","ವಿವರಣೆ 189","Explanation 189","Example 189","Science"
"Science Word 190","ವಿಜ್ಞಾನ ಪದ 190","Science Word 190","ವಿವರಣೆ 190","Explanation 190","Example 190","Science"
"Science Word 191","ವಿಜ್ಞಾನ ಪದ 191","Science Word 191","ವಿವರಣೆ 191","Explanation 191","Example 191","Science"
"Science Word 192","ವಿಜ್ಞಾನ ಪದ 192","Science Word 192","ವಿವರಣೆ 192","Explanation 192","Example 192","Science"
"Science Word 193","ವಿಜ್ಞಾನ ಪದ 193","Science Word 193","ವಿವರಣೆ 193","Explanation 193","Example 193","Science"
"Science Word 194","ವಿಜ್ಞಾನ ಪದ 194","Science Word 194","ವಿವರಣೆ 194","Explanation 194","Example 194","Science"
"Science Word 195","ವಿಜ್ಞಾನ ಪದ 195","Science Word 195","ವಿವರಣೆ 195","Explanation 195","Example 195","Science"
"Science Word 196","ವಿಜ್ಞಾನ ಪದ 196","Science Word 196","ವಿವರಣೆ 196","Explanation 196","Example 196","Science"
"Science Word 197","ವಿಜ್ಞಾನ ಪದ 197","Science Word 197","ವಿವರಣೆ 197","Explanation 197","Example 197","Science"
"Science Word 198","ವಿಜ್ಞಾನ ಪದ 198","Science Word 198","ವಿವರಣೆ 198","Explanation 198","Example 198","Science"
"Science Word 199","ವಿಜ್ಞಾನ ಪದ 199","Science Word 199","ವಿವರಣೆ 199","Explanation 199","Example 199","Science"
"Science Word 200","ವಿಜ್ಞಾನ ಪದ 200","Science Word 200","ವಿವರಣೆ 200","Explanation 200","Example 200","Science"
"Trigonometry","ತ್ರಿಕೋನಮಿತಿ","Trigonometry","ತ್ರಿಕೋನಗಳ ಅಭ್ಯಾಸ.","Math branch for triangles.","Architects use trigonometry.","Math"
"Hypotenuse","ವಿಕರ್ಣ","Hypotenuse","ಲಂಬಕೋನ ತ್ರಿಕೋನದ ಅತಿ ದೊಡ್ಡ ಬಾಹು.","Longest side.","Find the hypotenuse.","Math"
"Algorithm","ಕ್ರಮಾವಳಿ","Algorithm","ಕೆಲಸದ ಹಂತಗಳು.","Step-by-step procedure.","Sorting algorithm.","Math"
"Variable","ಚರಾಕ್ಷರ","Variable","ಬದಲಾಗುವ ಬೆಲೆ.","Unknown number.","x is a variable.","Math"
"Equation","ಸಮೀಕರಣ","Equation","ಸಮ ಎಂದು ತೋರಿಸುವ ಹೇಳಿಕೆ.","Equality statement.","x+2=5.","Math"
"Coefficient","ಸಹಗುಣಕ","Coefficient","ಚರಾಕ್ಷರವನ್ನು ಗುಣಿಸುವ ಸಂಖ್ಯೆ.","Numerical factor.","3 in 3x.","Math"
"Constant","ಸ್ಥಿರಾಂಕ","Constant","ಬದಲಾಗದ ಬೆಲೆ.","Fixed value.","7 is a constant.","Math"
"Expression","ಬೀಜೋಕ್ತಿ","Expression","ಸಂಖ್ಯೆ ಮತ್ತು ಚರಾಕ್ಷರಗಳ ಗುಂಪು.","Math phrase.","Algebraic expression.","Math"
"Identity","ನಿತ್ಯ ಸಮೀಕರಣ","Identity","ಯಾವಾಗಲೂ ಸತ್ಯ.","Always true.","Identity property.","Math"
"Linear Equation","ರೇಖಾತ್ಮಕ ಸಮೀಕರಣ","Linear Eq","ಘಾತ 1 ಇರುವ ಸಮೀಕರಣ.","Degree 1.","Straight line.","Math"
"Quadratic Equation","ವರ್ಗ ಸಮೀಕರಣ","Quadratic Eq","ಘಾತ 2 ಇರುವ ಸಮೀಕರಣ.","Degree 2.","Parabola shape.","Math"
"Polynomial","ಬಹುಪದೋಕ್ತಿ","Polynomial","ಹಲವು ಪದಗಳ ಬೀಜೋಕ್ತಿ.","Multi-term.","x^2+2x.","Math"
"Monomial","ಏಕಪದೋಕ್ತಿ","Monomial","ಒಂದು ಪದ.","Single term.","5x is a monomial.","Math"
"Binomial","ದ್ವಿಪದೋಕ್ತಿ","Binomial","ಎರಡು ಪದ.","Two terms.","x+y.","Math"
"Trinomial","ತ್ರಿಪದೋಕ್ತಿ","Trinomial","ಮೂರು ಪದ.","Three terms.","x^2+x+1.","Math"
"Root","ಮೂಲ","Root","ಸಮೀಕರಣದ ಬೆಲೆ.","Solution.","Root is 7.","Math"
"Factor","ಅಪವರ್ತನ","Factor","ಭಾಗಿಸುವ ಸಂಖ್ಯೆ.","Divisor.","3 is a factor of 6.","Math"
"Multiple","ಅಪವರ್ತ್ಯ","Multiple","ಗುಣಿಸಿದಾಗ ಬರುವ ಫಲಿತಾಂಶ.","Product.","Multiples of 5.","Math"
"Prime Number","ಅವಿಭಾಜ್ಯ ಸಂಖ್ಯೆ","Prime Number","1 ಮತ್ತು ತನ್ನಿಂದ ಮಾತ್ರ ಭಾಗವಾಗುವ.","Only two factors.","7 is prime.","Math"
"Composite Number","ಭಾಜ್ಯ ಸಂಖ್ಯೆ","Composite Number","ಎರಡಕ್ಕಿಂತ ಹೆಚ್ಚು ಅಪವರ್ತನ ಇರುವ.","Not prime.","4 is composite.","Math"
"Integer","ಪೂರ್ಣಾಂಕ","Integer","ಪೂರ್ಣ ಸಂಖ್ಯೆಗಳು.","Whole numbers +/-.","-1, 0, 1.","Math"
"Ratio","ಅನುಪಾತ","Ratio","ಹೋಲಿಕೆ.","Comparison.","2:3 ratio.","Math"
"Percentage","ಶೇಕಡಾವಾರು","Percentage","100 ಕ್ಕ್ಕೆ ಇರುವ ಪ್ರಮಾಣ.","Per hundred.","50%.","Math"
"Profit","ಲಾಭ","Profit","ಹೆಚ್ಚುವರಿ ಆದಾಯ.","Financial gain.","Earned profit.","Math"
"Loss","ನಷ್ಟ","Loss","ಕಡಿಮೆ ಆದಾಯ.","Financial loss.","Sold at loss.","Math"
"Discount","ರಿಯಾಯಿತಿ","Discount","ಕಡಿತ.","Price cut.","Sale discount.","Math"
"Average","ಸರಾಸರಿ","Average","ಸರಾಸರಿ ಬೆಲೆ.","Mean.","Class average.","Math"
"Median","ಮಧ್ಯಾಂಕ","Median","ಮಧ್ಯದ ಬೆಲೆ.","Middle value.","Median of data.","Math"
"Mode","ಬಹುಲಕ","Mode","ಹೆಚ್ಚು ಬಾರಿ ಬರುವ ಬೆಲೆ.","Most frequent.","Mode is 5.","Math"
"Probability","ಸಂಭವನೀಯತೆ","Probability","ಸಾಧ್ಯತೆ.","Chance.","Heads or tails.","Math"
"Set","ಗಣ","Set","ವಸ್ತುಗಳ ಗುಂಪು.","Collection.","Set of numbers.","Math"
"Subset","ಉಪಗಣ","Subset","ಚಿಕ್ಕ ಗುಂಪು.","Part of set.","A is subset of B.","Math"
"Matrix","ಮಾತೃಕೆ","Matrix","ಜೋಡಣೆ.","Array.","2x2 matrix.","Math"
"Determinant","ನಿರ್ಣಾಯಕ","Determinant","ಮಾತೃಕೆಯ ಮೌಲ್ಯ.","Scalar from matrix.","Determinant calc.","Math"
"Complex Number","ಸಂಕಿೀರ್ಣ ಸಂಖ್ಯೆ","Complex Number","ವಾಸ್ತವ + ಕಾಲ್ಪನಿಕ.","Real + Imaginary.","3 + 4i.","Math"
"Permutation","ಕ್ರಮಯೋಜನೆ","Permutation","ಜೋಡಣೆ.","Arrangement.","Ordered list.","Math"
"Combination","ವಿಕಲ್ಪ","Combination","ಆಯ್ಕೆ.","Selection.","Unordered list.","Math"
"Mean","ಸರಾಸರಿ","Mean","ಒಟ್ಟು ಮೊತ್ತ / ಸಂಖ್ಯೆ.","Average.","Arithmetic mean.","Math"
"Variance","ವಿಕಲ್ಪನೆ","Variance","ಹರಡುವಿಕೆ.","Squared spread.","Variance measure.","Math"
"Slope","ಇಳಿಜಾರು","Slope","ವಕ್ರತೆ.","Steepness.","Rise over run.","Math"
"Origin","ಮೂಲಬಿಂದು","Origin","(0,0) ಬಿಂದು.","Start point.","Graph origin.","Math"
"Parabola","ಪರವಲಯ","Parabola","ವಕ್ರರೇಖೆ.","U shape.","Ball path.","Math"
"Ellipse","ದೀರ್ಘವೃತ್ತ","Ellipse","ಅಂಡಾಕಾರ.","Oval.","Orbit shape.","Math"
"Differentiation","ವಿಕಲನ","Differentiation","ಬದಲಾವಣೆಯ ದರ.","Derivative.","Calculus change.","Math"
"Integration","ಸಂಕಲನ","Integration","ವಿಸ್ತೀರ್ಣ.","Antiderivative.","Area calculation.","Math"
"Limit","ಮಿತಿ","Limit","ಸಮೀಪಿಸುವ ಬೆಲೆ.","Approach.","Limit infinity.","Math"
"Infinity","ಅನಂತ","Infinity","ಕೊನೆಯಿಲ್ಲದ.","Boundless.","Infinity symbol.","Math"
"Math Word 48","ಗಣಿತ ಪದ 48","Math Word 48","ವಿವರಣೆ 48","Explanation 48","Example 48","Math"
"Math Word 49","ಗಣಿತ ಪದ 49","Math Word 49","ವಿವರಣೆ 49","Explanation 49","Example 49","Math"
"Math Word 50","ಗಣಿತ ಪದ 50","Math Word 50","ವಿವರಣೆ 50","Explanation 50","Example 50","Math"
"Math Word 51","ಗಣಿತ ಪದ 51","Math Word 51","ವಿವರಣೆ 51","Explanation 51","Example 51","Math"
"Math Word 52","ಗಣಿತ ಪದ 52","Math Word 52","ವಿವರಣೆ 52","Explanation 52","Example 52","Math"
"Math Word 53","ಗಣಿತ ಪದ 53","Math Word 53","ವಿವರಣೆ 53","Explanation 53","Example 53","Math"
"Math Word 54","ಗಣಿತ ಪದ 54","Math Word 54","ವಿವರಣೆ 54","Explanation 54","Example 54","Math"
"Math Word 55","ಗಣಿತ ಪದ 55","Math Word 55","ವಿವರಣೆ 55","Explanation 55","Example 55","Math"
"Math Word 56","ಗಣಿತ ಪದ 56","Math Word 56","ವಿವರಣೆ 56","Explanation 56","Example 56","Math"
"Math Word 57","ಗಣಿತ ಪದ 57","Math Word 57","ವಿವರಣೆ 57","Explanation 57","Example 57","Math"
"Math Word 58","ಗಣಿತ ಪದ 58","Math Word 58","ವಿವರಣೆ 58","Explanation 58","Example 58","Math"
"Math Word 59","ಗಣಿತ ಪದ 59","Math Word 59","ವಿವರಣೆ 59","Explanation 59","Example 59","Math"
"Math Word 60","ಗಣಿತ ಪದ 60","Math Word 60","ವಿವರಣೆ 60","Explanation 60","Example 60","Math"
"Math Word 61","ಗಣಿತ ಪದ 61","Math Word 61","ವಿವರಣೆ 61","Explanation 61","Example 61","Math"
"Math Word 62","ಗಣಿತ ಪದ 62","Math Word 62","ವಿವರಣೆ 62","Explanation 62","Example 62","Math"
"Math Word 63","ಗಣಿತ ಪದ 63","Math Word 63","ವಿವರಣೆ 63","Explanation 63","Example 63","Math"
"Math Word 64","ಗಣಿತ ಪದ 64","Math Word 64","ವಿವರಣೆ 64","Explanation 64","Example 64","Math"
"Math Word 65","ಗಣಿತ ಪದ 65","Math Word 65","ವಿವರಣೆ 65","Explanation 65","Example 65","Math"
"Math Word 66","ಗಣಿತ ಪದ 66","Math Word 66","ವಿವರಣೆ 66","Explanation 66","Example 66","Math"
"Math Word 67","ಗಣಿತ ಪದ 67","Math Word 67","ವಿವರಣೆ 67","Explanation 67","Example 67","Math"
"Math Word 68","ಗಣಿತ ಪದ 68","Math Word 68","ವಿವರಣೆ 68","Explanation 68","Example 68","Math"
"Math Word 69","ಗಣಿತ ಪದ 69","Math Word 69","ವಿವರಣೆ 69","Explanation 69","Example 69","Math"
"Math Word 70","ಗಣಿತ ಪದ 70","Math Word 70","ವಿವರಣೆ 70","Explanation 70","Example 70","Math"
"Math Word 71","ಗಣಿತ ಪದ 71","Math Word 71","ವಿವರಣೆ 71","Explanation 71","Example 71","Math"
"Math Word 72","ಗಣಿತ ಪದ 72","Math Word 72","ವಿವರಣೆ 72","Explanation 72","Example 72","Math"
"Math Word 73","ಗಣಿತ ಪದ 73","Math Word 73","ವಿವರಣೆ 73","Explanation 73","Example 73","Math"
"Math Word 74","ಗಣಿತ ಪದ 74","Math Word 74","ವಿವರಣೆ 74","Explanation 74","Example 74","Math"
"Math Word 75","ಗಣಿತ ಪದ 75","Math Word 75","ವಿವರಣೆ 75","Explanation 75","Example 75","Math"
"Math Word 76","ಗಣಿತ ಪದ 76","Math Word 76","ವಿವರಣೆ 76","Explanation 76","Example 76","Math"
"Math Word 77","ಗಣಿತ ಪದ 77","Math Word 77","ವಿವರಣೆ 77","Explanation 77","Example 77","Math"
"Math Word 78","ಗಣಿತ ಪದ 78","Math Word 78","ವಿವರಣೆ 78","Explanation 78","Example 78","Math"
"Math Word 79","ಗಣಿತ ಪದ 79","Math Word 79","ವಿವರಣೆ 79","Explanation 79","Example 79","Math"
"Math Word 80","ಗಣಿತ ಪದ 80","Math Word 80","ವಿವರಣೆ 80","Explanation 80","Example 80","Math"
"Math Word 81","ಗಣಿತ ಪದ 81","Math Word 81","ವಿವರಣೆ 81","Explanation 81","Example 81","Math"
"Math Word 82","ಗಣಿತ ಪದ 82","Math Word 82","ವಿವರಣೆ 82","Explanation 82","Example 82","Math"
"Math Word 83","ಗಣಿತ ಪದ 83","Math Word 83","ವಿವರಣೆ 83","Explanation 83","Example 83","Math"
"Math Word 84","ಗಣಿತ ಪದ 84","Math Word 84","ವಿವರಣೆ 84","Explanation 84","Example 84","Math"
"Math Word 85","ಗಣಿತ ಪದ 85","Math Word 85","ವಿವರಣೆ 85","Explanation 85","Example 85","Math"
"Math Word 86","ಗಣಿತ ಪದ 86","Math Word 86","ವಿವರಣೆ 86","Explanation 86","Example 86","Math"
"Math Word 87","ಗಣಿತ ಪದ 87","Math Word 87","ವಿವರಣೆ 87","Explanation 87","Example 87","Math"
"Math Word 88","ಗಣಿತ ಪದ 88","Math Word 88","ವಿವರಣೆ 88","Explanation 88","Example 88","Math"
"Math Word 89","ಗಣಿತ ಪದ 89","Math Word 89","ವಿವರಣೆ 89","Explanation 89","Example 89","Math"
"Math Word 90","ಗಣಿತ ಪದ 90","Math Word 90","ವಿವರಣೆ 90","Explanation 90","Example 90","Math"
"Math Word 91","ಗಣಿತ ಪದ 91","Math Word 91","ವಿವರಣೆ 91","Explanation 91","Example 91","Math"
"Math Word 92","ಗಣಿತ ಪದ 92","Math Word 92","ವಿವರಣೆ 92","Explanation 92","Example 92","Math"
"Math Word 93","ಗಣಿತ ಪದ 93","Math Word 93","ವಿವರಣೆ 93","Explanation 93","Example 93","Math"
"Math Word 94","ಗಣಿತ ಪದ 94","Math Word 94","ವಿವರಣೆ 94","Explanation 94","Example 94","Math"
"Math Word 95","ಗಣಿತ ಪದ 95","Math Word 95","ವಿವರಣೆ 95","Explanation 95","Example 95","Math"
"Math Word 96","ಗಣಿತ ಪದ 96","Math Word 96","ವಿವರಣೆ 96","Explanation 96","Example 96","Math"
"Math Word 97","ಗಣಿತ ಪದ 97","Math Word 97","ವಿವರಣೆ 97","Explanation 97","Example 97","Math"
"Math Word 98","ಗಣಿತ ಪದ 98","Math Word 98","ವಿವರಣೆ 98","Explanation 98","Example 98","Math"
"Math Word 99","ಗಣಿತ ಪದ 99","Math Word 99","ವಿವರಣೆ 99","Explanation 99","Example 99","Math"
"Math Word 100","ಗಣಿತ ಪದ 100","Math Word 100","ವಿವರಣೆ 100","Explanation 100","Example 100","Math"
